datum,profitloss
2022-04-22,1115.8396323361317
2022-04-25,797.6741652902241
2022-04-26,684.6224987333038
2022-04-27,510.23142532506415
2022-04-28,660.057224365385
2022-04-29,834.9345566708329
2022-05-03,740.5224760943955
2022-05-04,966.3418944678
2022-05-05,1034.7712356162622
2022-05-06,699.4189230617516
2022-05-09,215.60205884158947
2022-05-10,41.751054125502236
2022-05-11,117.45849589369661
2022-05-12,-328.0970824222047
2022-05-13,197.00630334923696
2022-05-16,373.19783956293384
2022-05-17,686.8628089639245
2022-05-18,669.4293175775732
2022-05-19,214.13719086483545
2022-05-20,136.1238974390279
2022-05-23,185.01574526482156
2022-05-24,-5.008190518710336
2022-05-25,12.240933504098138
2022-05-26,343.11557966688076
2022-05-27,831.7249882347827
2022-05-31,1049.5151329561747
2022-06-01,938.1154921131127
2022-06-06,1163.9410248999736
2022-06-07,1019.9302991294857
2022-06-08,1062.8281118805119
2022-06-09,883.7007483527931
2022-06-10,361.4303322119771
2022-06-13,-445.81129153759105
2022-06-14,-593.447828113846
2022-06-15,-501.43585438648324
2022-06-16,-836.9613354380052
2022-06-17,-1046.2824267330752
2022-06-21,-685.0451522095445
2022-06-22,-721.1139289834284
2022-06-23,-765.1773305710874
2022-06-24,-503.92360832915824
2022-06-27,-238.54777971662978
2022-06-28,-426.52201801184765
2022-06-29,-927.9553479077563
2022-06-30,-1152.2877175750768
2022-07-01,-1322.0070347382034
2022-07-05,-1405.638750203063
2022-07-06,-1213.852642364729
2022-07-07,-893.5811028926958
2022-07-08,-790.9320890375654
2022-07-11,-918.4714410826957
2022-07-12,-1091.3144487068728
2022-07-13,-1141.1372435369633
2022-07-14,-1155.3959446816807
2022-07-15,-879.331080640881
2022-07-18,-487.24773387494974
2022-07-19,-423.2423357404318
2022-07-20,-105.41937452335176
2022-07-21,169.9096443211997
2022-07-22,224.78385205611377
2022-07-25,22.075411497421527
2022-07-26,-85.59766387605558
2022-07-27,77.9488955308154
2022-07-28,364.37501344345526
2022-07-29,679.5169410532484
2022-08-01,968.1572204827838
2022-08-02,969.8588479742092
2022-08-03,985.4626049128523
2022-08-04,1324.8059620761871
2022-08-05,1387.0354564094544
2022-08-08,1404.732553949356
2022-08-09,1019.8892097377778
